分类: 📺央视频道, 名称: CCTV-1, 有效: 5, IPv4: 25, IPv6: 0, 最小延迟: 197 ms, 最高速率: 11.60 M/s, 平均速率: 6.83 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 4, IPv4: 26, IPv6: 0, 最小延迟: 302 ms, 最高速率: 6.45 M/s, 平均速率: 5.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 17, IPv6: 0, 最小延迟: 389 ms, 最高速率: 12.65 M/s, 平均速率: 8.35 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 256 ms, 最高速率: 10.87 M/s, 平均速率: 6.87 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 4, IPv4: 17, IPv6: 0, 最小延迟: 317 ms, 最高速率: 11.13 M/s, 平均速率: 7.31 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 25, IPv6: 0, 最小延迟: 271 ms, 最高速率: 7.45 M/s, 平均速率: 6.72 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 2, IPv4: 17, IPv6: 0, 最小延迟: 304 ms, 最高速率: 8.03 M/s, 平均速率: 6.95 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 6, IPv4: 23, IPv6: 0, 最小延迟: 277 ms, 最高速率: 12.39 M/s, 平均速率: 5.83 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 24, IPv6: 0, 最小延迟: 257 ms, 最高速率: 11.95 M/s, 平均速率: 7.53 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 23, IPv6: 0, 最小延迟: 239 ms, 最高速率: 9.83 M/s, 平均速率: 4.69 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 21, IPv6: 0, 最小延迟: 325 ms, 最高速率: 12.97 M/s, 平均速率: 9.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 24, IPv6: 0, 最小延迟: 259 ms, 最高速率: 5.02 M/s, 平均速率: 4.29 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 5, IPv4: 17, IPv6: 0, 最小延迟: 236 ms, 最高速率: 4.28 M/s, 平均速率: 3.43 M/s, 最高分辨率: 1920x1080
